"阶段","模块","主题/文章","发表时间","实战问题","适用场景","关键方法","实操步骤","常见坑","建议工具/模型","练习任务","掌握标准","来源"
"P2 进阶监测","期中数据与安全监测","Conditional Power: How Likely Is Trial Success?","2023-01-23","基于当前数据，试验最终成功的概率有多大？","期中阶段判断是否继续、扩样或因无望停止。","条件功效；预测功效；当前趋势假设；设计效应假设。","确定当前信息量；指定未来效应假设；计算条件功效；结合临床和运营因素决策。","把条件功效当真实成功概率；未来效应假设不透明；低条件功效后事后改终点。","R: gsDesign/rpact；贝叶斯预测概率。","在不同未来效应假设下计算条件功效，比较结论敏感性。","能解释条件功效依赖假设，并能区分conditional power与predictive probability。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶监测","期中数据与安全监测","Futility in Clinical Trials","2023-07-31","什么时候应因无效或无望而停止试验？","保护受试者、节省资源、避免继续一个成功机会很低的试验。","无效边界；非约束性边界；条件功效；预测概率。","预设无效规则；明确是否有约束力；评估安全性和外部证据；由DMC提出建议。","把招募慢当统计无效；无效规则过早过严；停止后结论表述过强。","R: rpact/gsDesign；DMC章程。","为一项二分类结局RCT设置无效边界，并模拟不同真实效应下的停止概率。","能说明无效停止的伦理和统计理由，并能读懂停止概率模拟。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","The Intention-to-Treat Principle: How to Assess the True Effect of Choosing a Medical Treatment","2014-07-02","如何估计被分配到某治疗策略的效果？","随机试验主分析，存在不依从、交叉、停药或方案偏离。","意向治疗；随机化保护；治疗策略estimand；完整随访。","按随机分组分析；尽量收集所有结局；预设缺失处理；把PP/AT作为补充。","排除不依从者破坏随机化；把ITT解释为实际服药效果；失访过多仍声称无偏。","R: glm/survival/mice；CONSORT。","同一数据分别做ITT、PP、AT分析，比较估计差异并解释原因。","能说清ITT回答的是分配策略效果，而不是纯生物疗效。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Multiple Comparison Procedures","2014-08-06","多个终点或亚组同时检验时，如何控制假阳性？","多个主要/次要终点、多剂量、多亚组、多时间点。","FWER；FDR；Bonferroni；Holm；层级检验。","列出检验家族；确定控制目标；预设调整方法；报告调整后P值或置信区间。","只挑显著结果报告；把探索性分析包装成验证性；未定义检验家族。","R: p.adjust/multcomp。","对10个终点P值做Bonferroni、Holm和BH调整，比较哪些结论改变。","能判断何时控制FWER、何时可用FDR，并能写出多重性策略。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Minimal Clinically Important Difference: Defining What Really Matters to Patients","2014-10-01","统计显著的差异是否真的对患者有意义？","连续量表、PRO、功能评分、生活质量和风险差解释。","MCID；anchor-based；distribution-based；临床阈值。","在方案中预设MCID；结合患者或临床锚点；报告效应大小与CI相对MCID的位置。","样本大导致微小差异显著；事后改MCID；不同人群沿用同一阈值。","R: effectsize/emmeans；量表验证文献。","给定均值差和CI，判断是否达到MCID，并写出患者层面解释。","能把P值、CI和MCID放在同一句结果解释中。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Bayesian Analysis: Using Prior Information to Interpret the Results of Clinical Trials","2017-10-24/31","如何把既往证据和当前试验数据合并判断？","小样本、罕见病、适应性设计、需要概率化决策。","先验；后验；可信区间；后验概率；敏感性分析。","定义弱信息和信息先验；拟合模型；报告后验概率和区间；做先验敏感性分析。","先验选择不透明；把可信区间解释成频率CI；忽略先验与数据冲突。","R: brms/rstanarm/rjags；Stan。","用同一数据分别设弱先验和乐观先验，比较后验治疗效果。","能解释先验、似然、后验的关系，并能报告先验敏感性。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Treatment Effects in Multicenter Randomized Clinical Trials","2019-03-01","多中心试验中，中心差异如何进入分析？","多个医院或国家参与，中心规模和基线风险差异明显。","中心固定效应；中心随机效应；中心-治疗交互；分层因素调整。","确认随机是否按中心分层；主模型纳入中心或区域；检查小中心合并策略；探索异质性。","中心太多且小样本导致模型不稳；忽略中心与治疗交互；事后选择中心合并。","R: lme4/survival/coxme。","模拟20中心RCT，比较不调中心、固定效应、随机效应模型。","能说明中心效应调整的目的，并理解异质性探索不是随意亚组。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Adjusting for Nonadherence or Stopping Treatments in Randomized Clinical Trials","2021-05-25","不依从或停药后，如何估计实际治疗相关效果？","治疗交叉、停药、救援治疗、依从性差。","CACE；IV；IPCW；g-methods；敏感性分析。","保留ITT主分析；定义补充estimand；记录依从和停药原因；选择因果方法并报告假设。","简单排除停药者；忽略停药受预后影响；把补充分析当随机化主证据。","R: ivreg/ipw/survival；target trial框架。","用含停药数据比较ITT、PP、IPCW三种估计，并写出各自假设。","能解释为什么依从性调整通常需要更强假设。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Interpreting the Results of Intention-to-Treat, Per-Protocol, and As-Treated Analyses of Clinical Trials","2021-08-03","ITT、PP、AT结果不一致时，该怎么解释？","主要分析后做依从性、实际治疗或方案符合者补充分析。","ITT；per-protocol；as-treated；选择偏倚；因果解释。","先报告ITT；明确PP排除规则；AT按实际治疗重分组；比较差异并讨论偏倚方向。","把AT当随机比较；PP规则事后设定；只报告最有利结果。","R: glm/survival；CONSORT偏离表。","制作一张三种分析人群定义表，并用同一结局输出三列结果。","能用一段话说明三种分析分别回答什么问题。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","结局分析与解释","Using Effect Scores to Characterize Heterogeneity of Treatment Effects","2024-03-19","如何描述个体层面治疗效果差异，而不是只看平均效果？","需要个体化治疗决策、风险分层、预测获益人群。","效应评分；风险模型；校准；决策曲线；异质性治疗效果。","建立基线风险或效应模型；避免用治疗后变量；内部验证；按效应分层报告绝对获益。","把亚组P值当个体化证据；模型过拟合；只报告相对效应不报绝对效应。","R: tidymodels/rms/grf；causal forest。","建立一个基线风险模型，按预测风险四分位报告治疗绝对风险差。","能区分预后异质性和治疗效应异质性，并能评价模型校准。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Tipping Point Analysis: Assessing the Potential Impact of Missing Data","2025-06-16","缺失数据要严重到什么程度才会推翻结论？","主要结局缺失较多，需评估MNAR情景下结论稳健性。","tipping point；情景分析；MNAR；敏感性分析。","完成主缺失处理；设定不同组别缺失者结局假设；网格搜索结论改变点；报告临床可信度。","只做MAR插补；情景范围过窄；找到翻转点后不讨论是否现实。","R: mice/tipmiss；自写网格模拟。","对二分类结局缺失者设不同事件率，找出P值或CI跨越阈值的组合。","能把统计翻转点转化为临床上是否可信的判断。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","结局分析与解释","Pattern-Mixture Models for Missing Data","2025-10-30","缺失机制可能不同于观察者时，如何建模？","结局缺失与预后或治疗反应相关，MAR假设可疑。","pattern-mixture模型；delta adjustment；MNAR敏感性。","按缺失模式分层；建立观察数据模型；对未观察结局加入delta偏移；展示多情景结果。","把MNAR模型当可验证真相；delta选择无临床依据；缺失模式过细导致不稳定。","R: mice/JointAI；贝叶斯模型。","对连续结局做delta-adjusted pattern-mixture敏感性分析，画delta与估计值关系。","能说明MNAR分析主要是稳健性评估，而不是证明缺失机制。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","结局分析与解释","Dose-Finding Trials: Optimizing Phase 2 Data in the Drug Development Process","2015-12-01","如何选择进入后期试验的合适剂量？","药物开发2期，需在疗效、毒性和剂量反应间权衡。","剂量反应；MCP-Mod；贝叶斯剂量寻找；安全性监测。","定义候选剂量；建模剂量-疗效和剂量-毒性；设定最小有效剂量或推荐剂量；模拟操作特性。","只比较每个剂量与安慰剂；样本量不足识别曲线；忽略安全性和给药便利性。","R: DoseFinding/dfpk/brms。","用5个剂量组模拟剂量反应，拟合Emax模型并选择推荐剂量。","能说明为什么剂量选择不是简单挑P值最小组。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Estimands, Estimators, and Estimates","2021-08-23","研究问题、统计方法和结果数值如何对齐？","任何临床试验方案、SAP和结果解释。","estimand；estimator；estimate；intercurrent events；ICH E9(R1)。","定义人群、处理、结局、汇总指标和干扰事件策略；再选择估计量；最后报告估计值。","先套模型再倒推问题；不说明停药、救援治疗、死亡等事件策略；结果解释与目标不一致。","ICH E9(R1)框架；SAP模板。","为一个糖尿病RCT写5要素estimand，并说明停药后的结局如何处理。","能在读论文时指出作者的estimand是什么，若未说明能发现缺口。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Missing Data: How to Best Account for What Is Not Known","2015-09-01","结局缺失时，怎样减少偏倚并诚实表达不确定性？","失访、未完成量表、死亡前后结局、电子病历缺漏。","MCAR/MAR/MNAR；完整案例；权重；插补；敏感性分析。","预防缺失；描述缺失模式；主分析使用合理假设；做MNAR敏感性分析；报告缺失比例和原因。","默认完整案例无偏；只报插补后结果；把缺失原因混成一类。","R: mice/naniar/VIM/ipw。","画缺失模式图，比较完整案例和多重插补的治疗效果估计。","能根据缺失机制选择方法，并明确哪些假设不可由数据证明。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Multiple Imputation: A Flexible Tool for Handling Missing Data","2015-11-10","如何用多重插补处理不完整协变量或结局？","缺失可由已观测变量解释，MAR假设较可接受。","多重插补；Rubin规则；插补模型兼容；预测均值匹配。","纳入与缺失和结局相关变量；生成足够插补数据集；分别分析；用Rubin规则合并；检查诊断。","插补模型少于分析模型；只插补一次；先删变量再插补；忽略分组或纵向结构。","R: mice/Amelia/mitools。","用mice做20次插补，输出合并OR和95%CI，并检查插补值分布。","能说明插补模型应比分析模型更丰富，并会报告插补次数和变量。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Gatekeeping Strategies for Avoiding False-Positive Results in Clinical Trials With Many Comparisons","2017-10-10","多个终点有优先级时，如何有序控制假阳性？","主要终点、关键次要终点、多剂量或多层级假设。","gatekeeping；层级检验；alpha传递；闭合检验。","按临床优先级排序假设；定义进入下一层条件；预设alpha分配与传递；严格按顺序报告。","看到结果后调整顺序；跳过失败假设继续宣称验证性成功；层级与临床重要性不符。","R: gMCP/multxpert。","为3个终点设计fixed-sequence和fallback两种gatekeeping方案。","能画出假设图，并说明某一节点失败后后续结论如何降级。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","结局分析与解释","Bayesian Hierarchical Models","2018-12-11","多个中心、亚组或结局间如何部分借力？","小样本亚组、多中心差异、稀有事件、多层结构数据。","层级模型；部分汇聚；随机效应；后验收缩。","识别层级结构；设定合理先验；检查收缩效果；报告总体和层级特异估计。","把收缩后的亚组结果当确定发现；先验过强；模型诊断不足。","R: brms/rstanarm/Stan。","用多中心二分类数据拟合层级logistic模型，比较每中心粗率与收缩估计。","能解释部分汇聚为什么可减少极端小样本估计。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Number Needed to Treat: Conveying the Likelihood of a Therapeutic Effect","2019-02-07","如何把绝对获益转成临床容易理解的数字？","二分类结局、事件风险降低、患者沟通和指南解释。","绝对风险差；NNT；NNH；时间范围。","计算对照风险和治疗风险；求绝对风险差；取倒数得到NNT；报告时间窗和CI。","用相对风险直接算NNT；忽略基线风险；不说明随访时间；NNT跨无效时解释错误。","R: epitools/PropCIs；手算风险差。","用三种不同基线风险计算同一相对风险下的NNT，比较临床含义。","能解释NNT随基线风险变化，并同时报告获益和伤害。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Heterogeneity of Treatment Effect: Estimating How the Effects of Interventions Vary Across Individuals","2021-12-14","平均治疗效果背后是否存在重要差异？","亚组分析、个体化治疗、基线风险差异大的试验。","交互项；绝对风险差；预设亚组；异质性治疗效果。","预设少量可信亚组；模型中检验交互；优先报告绝对效应；避免按结果挖掘亚组。","组内显著、组间不显著的误读；亚组过多；只看相对效应忽略绝对获益。","R: glm/emmeans/forestplot。","做一个亚组森林图，标注交互P值和每组绝对风险差。","能指出亚组分析主要看交互，而不是各亚组内P值。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局分析与解释","Adjustment for Baseline Characteristics in Randomized Clinical Trials","2022-11-17","随机试验还需要调整基线变量吗？","连续或二分类结局，基线强预后变量已知，需提高精度或处理偶然不平衡。","协变量调整；ANCOVA；预设调整变量；精度提升。","在SAP预设少量强预后变量；使用合适回归模型；报告调整和未调整敏感性结果。","因为基线P值显著才调整；纳入治疗后变量；变量太多导致模型不稳。","R: lm/glm/survival/emmeans。","比较变化值分析、ANCOVA和未调整分析在同一连续结局上的估计精度。","能解释随机化保证无偏，协变量调整主要提高精度且应预设。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶分析","结局分析与解释","Why Test for Proportional Hazards?","2020-03-13","Cox模型的风险比在时间变化时还好解释吗？","生存结局、治疗效果可能随时间减弱或延迟出现。","比例风险假设；Schoenfeld残差；RMST；时间变化效应。","画log-minus-log或Schoenfeld诊断；检验PH假设；若违反，报告RMST或分段HR。","PH明显违反仍只报单一HR；把HR当风险比；忽略随访时间分布。","R: survival/survminer/rmst2。","模拟延迟治疗效果，比较Cox HR和RMST差异。","能说明HR不是绝对风险差，并能在PH不成立时选择替代指标。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶因果","结局分析与解释","Collider Bias","2022-03-14","为什么调整某些变量反而会制造偏倚？","选择入组、只分析幸存者、按治疗后变量分层或调整。","碰撞偏倚；DAG；选择偏倚；治疗后变量。","画DAG；标记暴露、结局、混杂、碰撞点；避免调整共同结果或选择变量；做敏感性讨论。","见变量就调整；按治疗后反应者做亚组；只分析完成随访者。","DAGitty；R: dagitty/ggdag。","画一个只有住院患者样本导致暴露-结局产生虚假关联的DAG。","能用DAG解释为什么更多调整不一定更好。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","结局分析与解释","Win Ratio Method for Hierarchical Composite Outcomes in Randomized Clinical Trials","2026-01-28","复合结局有重要性层级时，如何比较治疗？","心血管、重症、死亡优先于住院或症状等层级复合终点。","win ratio；层级复合结局；配对比较；优先级排序。","预先定义结局层级；确定比较规则和时间窗；计算胜/负/平；报告win ratio和CI。","层级事后设定；低重要性结局驱动结果；忽略删失和配对策略。","R: WINS/BuyseTest；生存扩展方法。","用死亡、住院、症状改善构造层级结局，计算win ratio并解释。","能说明win ratio与传统复合终点的区别，以及临床优先级如何影响结论。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
